タイトル,章,節,項,問題文,内部表現方式
足し算,1,1,1,林檎が2個、蜜柑が3個あります。果物は何個でしょう。,
足し算,1,2,1,犬が5匹、猫が30匹です。動物は全部で何匹でしょう。,
足し算,2,1,1,57円の飴と28円のガムを買います。代金は何円になりますか。,"(あめ,57円,-),(ガム,28円,買い),(代金,何円,なりますか)"
足し算,2,1,2,飴は57円でガムは28円です。代金は全部で何円になりますか。,
足し算,2,1,3,昨日57円のガムを買いました。今日28円のガムを買いました。全部で何円分のお菓子を買いましたか,
足し算,2,1,4,57円の飴と28円のガムを買います。全部でいくらですか。,
足し算,2,1,5,太郎くんは57円の飴を買いました。花子さんは28円のガムを買いました。全部で何円のお菓子を買いましたか。,
足し算,3,1,1,男の子は28人います。女の子は男の子より7人多くいます。女の子は何人いますか。,"(男の子,28人,います),(女の子,7人,多い),(女の子,何人,いますか)"
足し算,4,1,1,青い鳥が5羽います。赤い鳥が4羽います。鳥は、全部で何羽いますか。,
足し算,4,2,1,子供が5人います。そこに友達が4人きました。子供は、みんなで何人になりましたか。,
足し算,4,3,1,みかんが、籠の中に7個、籠の外に3個あります。全部でみかんは何個ありますか。,
足し算,4,4,1,侑花さんはシールを5枚持っています。新しくシールを3枚買うと全部でシールは何枚になりますか。,
足し算,4,5,1,太郎さんはノートを10冊持っています。花子さんはノートを2冊持っています。全部でノートは何冊ですか。,
足し算,4,6,1,始め犬を3匹飼ってました。新しく猫を2匹飼うと動物は全部で何匹になりますか。,
足し算,4,7,1,アメが4個あります。お母さんから4個もらいました。全部でアメは何個になりますか。,
足し算,4,8,1,始め猫が3匹います。そこに猫が4匹やって来ました。全部で猫は何匹になりますか。,
足し算,4,9,1,自動車が5台停まっています。そこに3台やって来ました。全部で何台になりますか。,
足し算,4,10,1,クラスには男の子は21人、女の子は18人います。クラスは全員で何人ですか。,
足し算,4,11,1,ある小学校には三年生が155人、四年生は140人います。三年生と四年生全部で何人いますか。,
足し算,4,12,1,1.5kgの林檎を200gの籠に入れて量ります。全部の重さは何gになりますか。,
足し算,4,13,1,しおりさんの鞄は1.4kgで、お父さんの鞄より0.4kg軽いです。お父さんの鞄は何kgですか。,
足し算,4,14,1,カラスが4羽、豚が2頭、犬が4匹、鶏が3羽います。動物は何匹いますか。,
足し算,4,15,1,りなさんは折り紙を3枚、弟は6枚持っています。折り紙は合わせて何枚ありますか。,
足し算,4,16,1,たかしさんはカブトムシを4匹飼っています。さらに2匹貰いました。カブトムシは全部で何匹になりましたか,
引き算,4,17,1,"さつきさんは,98円もっています。82円のキャラメルを買うと、残りは何円ですか。",
引き算,4,1,1,飴が64個あります。36人の子供に1個ずつ分けると、飴は何個あまりますか。,"(あめ,64個,あります),(子供,36人,1個ずつ,分ける),(あめ,何個,あまり)"
引き算,4,1,1,32個の椅子に41人の子供が1人ずつ座ると、椅子は何個足りないでしょうか。,"(イス,32個,-),(子供,41人,1人ずつ,座る),(イス,何個,足りない)"
引き算,4,2,1,飴が8個あります。飴を5個食べました。飴は何個残っていますか。,
引き算,4,3,1,猫が10匹います。犬が8匹います。猫は何匹多いでしょうか。,
引き算,4,4,1,始め太郎くんは120円持っています。90円のお菓子を買うと何円残っていますか。,
引き算,4,5,1,始め梨花さんは本を5冊持っていました。3冊読むと読んでいない本は何冊ですか。,
引き算,4,6,1,ひろしさんはどんぐりを39個、お姉さんは54個拾いました。どちらが何個多く拾いましたか。,
,,,,,
掛け算,2,1,1,アのテープの長さは3cmです。イのテープの長さはアのテープの長さの3倍です。イのテープの長さは何cmですか。,"(アのテープ,3cm,です),(イのテープ,3倍,です),(イのテープ,何cm,ですか)"
掛け算,4,1,1,ドーナツを6個ずつ箱に入れていったら、4箱できて、1個余りました。ドーナツは全部で何個ありますか。,"(ドーナツ,6個,入れ),(箱,4箱,でき),(箱,1個,余り),(ドーナツ,何個,ありますか)"
掛け算,2,2,1,飴を、6人の子供に4個ずつ配ったら、1個余りました。飴は全部で何個ありますか。,"(あめ,4個ずつ,配),(子供,6人,-),(-,1個,余り),(あめ,何個,ありますか)"
割り算,1,1,1,21個の飴を、3人で同じ数ずつ分けると、1人分は何個になるでしょう。,"(あめ,21個,-),(-,3人,分ける),(1人分,何個,なるでしょう)"
割り算,2,1,1,32枚の色紙を、1人に4枚ずつ分けると、何人に分けられますか。,"(色紙,32枚,-),(1人,4枚ずつ,分ける),(-,何人,分けられ)"
割り算,4,1,1,ゆかりさんは、お弾きを6個持っています。お姉さんは54個持っています。お姉さんの持っているお弾きの数は、ゆかりさんの何倍ですか。,"(ゆかり,6個,持って),(お姉さん,54個,持って),(お姉さん,ゆかり,何倍,ですか)"
割り算,3,1,1,小学生が7人、中学生が2人います。みんなに鉛筆を同じ数ずつ配ったら、鉛筆は27本要りました。1人に何本ずつ配りましたか。,"(小学生,7人,-),(中学生,2人,います),(鉛筆,同じ数ずつ,配),(鉛筆,27本,要り),(1人,何本ずつ,配)"
割り算,4,2,1,向日葵の種が50個あります。6個ずつ植木鉢に植えます。全部植えるには植木鉢は何個要りますか。,"(向日葵の種,50個,あり),(-,6個ずつ,植え),(植木鉢,何個,要り)"
掛け算,0,0,0,蛸が４匹います。蛸は足が８本です。 蛸の足は全部で何本になりますか。,
